Код	НаименованиеЕдиницыИзмерения	УсловноеОбозначениеНациональное	УсловноеОбозначениеМеждународное	КодовоеБуквенноеОбозначениеНациональное	КодовоеБуквенноеОбозначениеМеждународное
003	Миллиметр	мм	mm	ММ	MMT
004	Сантиметр	см	cm	СМ	CMT
005	Дециметр	дм	dm	ДМ	DMT
006	Метр	м	m	М	MTR
008	"Километр
Тысяча метров"	"км
1000 м"	km	"КМ
ТЫС М"	KMT
009	"Мегаметр
Миллион метров"	"Мм
10^6 м"	Mm	"МЕГАМ
МЛН М"	MAM
039	Дюйм (25,4 мм)	дюйм	in	ДЮЙМ	INH
041	Фут (0,3048 м)	фут	ft	ФУТ	FOT
043	Ярд (0,9144 м)	ярд	yd	ЯРД	YRD
047	Морская миля (1852 м)	миля	n mile	МИЛЬ	NMI
050	Квадратный миллиметр	мм2	mm2	ММ2	MMK
051	Квадратный сантиметр	см2	cm2	СМ2	CMK
053	Квадратный дециметр	дм2	dm2	ДМ2	DMK
055	Квадратный метр	м2	m2	М2	MTK
058	Тысяча квадратных метров	1000  м2	daa	ТЫС М2	DAA
059	Гектар	га	ha	ГА	HAR
061	Квадратный километр	км2	km2	КМ2	KMK
071	Квадратный дюйм (645,16 мм2)	дюйм2	in2	ДЮЙМ2	INK
073	Квадратный  фут (0,092903 м2)	фут2	ft2	ФУТ2	FTK
075	Квадратный ярд (0,8361274 м2)	ярд2	yd2	ЯРД2	YDK
109	Ар (100 м2)	а	a	АР	ARE
110	Кубический миллиметр	мм3	mm3	ММ3	MMQ
111	"Кубический сантиметр 
Миллилитр"	"см3
мл"	"cm3
ml"	"СМ3
МЛ"	"CMQ
MLT"
112	Кубический дециметр	дм3	dm3	ДМЗ	DMQ
112	Литр	л	l	Л	LTR
113	Кубический метр	м3	m3	М3	MTQ
118	Децилитр	дл	dl	ДЛ	DLT
122	Гектолитр	гл	hl	ГЛ	HLT
126	Мегалитр	Мл	Ml	МЕГАЛ	MAL
131	Кубический дюйм (16387,1 мм3)	дюйм3	in3	ДЮЙМ3	INQ
132	Кубический фут (0,02831685 м3)	фут3	ft3	ФУТ3	FTQ
133	Кубический ярд (0,764555 м3)	ярд3	yd3	ЯРДЗ	YDQ
159	Миллион кубических метров	10^6 м3	10^6 m3	МЛН МЗ	HMQ
160	Гектограмм	гг	hg	ГГ	HGM
161	Миллиграмм	мг	mg	МГ	MGM
162	Метрический  карат (1 карат = 200 мг = 2*0,0001 кг)	кар	МС	КАР	CTM
163	Грамм	г	g	Г	GRM
166	Килограмм	кг	kg	КГ	KGM
168	"Тонна
Метрическая тонна (1000 кг)"	т	t	Т	TNE
170	Килотонна	10  т3	kt	КТ	KTN
173	Сантиграмм	сг	cg	СГ	CGM
181	Брутто - регистровая тонна (2,8316 м3)	БРТ		БРУТТ. РЕГИСТР Т	GRT
185	Грузоподъемность в метрических тоннах	т грп		Т ГРУЗОПОД	CCT
206	"Центнер (метрический) (100 кг) 
Гектокилограмм 
Квинтал (метрический) 
Децитонна"	ц	"q
100  kg"	Ц	DTN
212	Ватт	Вт	W	ВТ	WTT
214	Киловатт	кВт	kW	КВТ	KWT
215	"Мегаватт
Тысяча киловатт"	"МВт
1000  кВт"	MW	"МЕГАВТ
ТЫС КВТ"	MAW
222	Вольт	В	V	В	VLT
223	Киловольт	кВ	kV	КВ	KVT
227	Киловольт - ампер	кВ.А	kV.A	КВ.А	KVA
228	Мегавольт - ампер (тысяча киловольт - ампер)	МВ.А	MV.A	МЕГАВ.А	MVA
230	Киловар	квар	kVAR	КВАР	KVR
243	Ватт - час	Вт.ч	W.h	ВТ.Ч	WHR
245	Киловатт - час	кВт.ч	kW.h	КВТ.Ч	KWH
246	"Мегаватт - час
1000 киловатт - часов"	"МВт.ч
1000  кВт.ч"	МW.h	"МЕГАВТ.Ч 
ТЫС КВТ.Ч"	MWH
247	Гигаватт - час (миллион киловатт - часов)	ГВт.ч	GW.h	ГИГАВТ.Ч	GWH
260	Ампер	А	A	А	AMP
263	Ампер - час (3,6 кКл)	А.ч	A.h	А.Ч	AMH
264	Тысяча ампер - часов	1000  А.ч	1000  A.h	ТЫС А.Ч	TAH
270	Кулон	Кл	C	КЛ	COU
271	Джоуль	Дж	J	ДЖ	JOU
273	Килоджоуль	кДж	kJ	КДЖ	KJO
274	Ом	Ом	Омега	ОМ	OHM
280	Градус Цельсия	°С	°С	ГРАД ЦЕЛЬС	CEL
281	Градус Фаренгейта	°F	°F	ГРАД ФАРЕНГ	FAN
282	Кандела	кд	cd	КД	CDL
283	Люкс	лк	lx	ЛК	LUX
284	Люмен	лм	lm	ЛМ	LUM
288	Кельвин	K	K	К	KEL
289	Ньютон	Н	N	Н	NEW
290	Герц	Гц	Hz	ГЦ	HTZ
291	Килогерц	кГц	kHz	КГЦ	KHZ
292	Мегагерц	МГц	MHz	МЕГАГЦ	MHZ
294	Паскаль	Па	Pa	ПА	PAL
296	Сименс	См	S	СИ	SIE
297	Килопаскаль	кПа	kPa	КПА	KPA
298	Мегапаскаль	МПа	MPa	МЕГАПА	MPA
300	Физическая атмосфера (101325 Па)	атм	atm	АТМ	ATM
301	Техническая атмосфера (98066,5 Па)	ат	at	АТТ	ATT
302	Гигабеккерель	ГБк	GBq	ГИГАБК	GBQ
304	Милликюри	мКи	mCi	МКИ	MCU
305	Кюри	Ки	Ci	КИ	CUR
306	Грамм делящихся изотопов	г Д/И	g fissile isotopes	Г ДЕЛЯЩ ИЗОТОП	GFI
308	Миллибар	мб	mbar	МБАР	MBR
309	Бар	бар	bar	БАР	BAR
310	Гектобар	гб	hbar	ГБАР	HBA
312	Килобар	кб	kbar	КБАР	KBA
314	Фарад	Ф	F	Ф	FAR
316	Килограмм на кубический метр	кг/м3	kg/m3	КГ/МЗ	KMQ
323	Беккерель	Бк	Bq	БК	BQL
324	Вебер	Вб	Wb	ВБ	WEB
327	Узел (миля/ч)	уз	kn	УЗ	KNT
328	Метр в секунду	м/с	m/s	М/С	MTS
330	Оборот в секунду	об/с	r/s	ОБ/С	RPS
331	Оборот в минуту	об/мин	r/min	ОБ/МИН	RPM
333	Километр в час	км/ч	km/h	КМ/Ч	KMH
335	Метр на секунду в квадрате	м/с2	m/s2	М/С2	MSK
349	Кулон на килограмм	Кл/кг	C/kg	КЛ/КГ	CKG
354	Секунда	с	s	С	SEC
355	Минута	мин	min	МИН	MIN
356	Час	ч	h	Ч	HUR
359	Сутки	"сут
дн"	d	"СУТ
ДН"	DAY
360	Неделя	нед		НЕД	WEE
361	Декада	дек		ДЕК	DAD
362	Месяц	мес		МЕС	MON
364	Квартал	кварт		КВАРТ	QAN
365	Полугодие	полгода		ПОЛГОД	SAN
366	Год	"г
лет"	a	"ГОД
ЛЕТ"	ANN
368	Десятилетие	деслет		ДЕСЛЕТ	DEC
499	Килограмм в секунду	кг/с		КГ/С	KGS
533	Тонна пара в час	т пар/ч		Т ПАР/Ч	TSH
596	Кубический метр в секунду	м3/с	m3/s	М3/С	MQS
598	Кубический метр в час	м3/ч	m3/h	М3/Ч	MQH
